"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","요일(YOIL)","시간대(TIMEZN_CD)","남자00~04세(M00)","남자05~09세(M05)","남자10~14세(M10)","남자15~19세(M15)","남자20~24세(M20)","남자25~29세(M25)","남자30~34세(M30)","남자35~39세(M35)","남자40~44세(M40)","남자45~49세(M45)","남자50~54세(M50)","남자55~59세(M55)","남자60~64세(M60)","남자65~69세(M65)","남자70세이상(M70)","여자00~04세(F00)","여자05~09세(F05)","여자10~14세(F10)","여자15~19세(F15)","여자20~24세(F20)","여자25~29세(F25)","여자30~34세(F30)","여자35~39세(F35)","여자40~44세(F40)","여자45~49세(F45)","여자50~54세(F50)","여자55~59세(F55)","여자60~64세(F60)","여자65~69세(F65)","여자70세이상(F70)","합계(TOTAL)","행정동코드(ADMI_CD)","기준년월(ETL_YM)"
"5*2*9*9*",197737.946254732,553184.269012185,"4","16",0,0.0275,0,0.0001,1.903,0.0364,0.0064,0.1499,0,0.0536,0.4038,0.033,0.0018,0.1153,0.0092,0.0001,0,0,0.0071,1.9224,0,0.0138,0.0884,0.7727,0.6273,0.6419,0.0068,0,0.0256,0.0309,0.3859,"11620630","201606"
"5*2*0*6*",198088.475574428,552886.987451754,"1","00",0.0041,0,0.0076,0.022,0.1244,0.1564,0.0673,0.004,1.8087,0.0292,0.0313,0.0112,0.0024,0.0059,0,0.0029,0,0,0.0245,0.0095,0.0079,0,0.3777,0,0.1594,0.0016,0.3589,0.2904,0.0141,0.0489,0.7045,"11590560","201704"
"5*5*2*3*",199888.342599648,553595.975081369,"7","06",0,0,0.0184,0.0024,0.0556,0.0252,0.0081,0.0034,0.0039,0.0114,0.0055,0,0.4708,0.0907,0.2669,0,0.0086,0,0.0002,0.1323,0.0077,0.0015,0.142,1.1817,0,0.0082,0.0109,0.0261,0.0102,0.0726,5.086,"11290555","201702"
"5*3*6*7*",199272.434596573,556738.852141564,"3","23",0,0,0.0006,0.5034,0.3427,0.0059,0.0282,0.0565,0.4711,0.0486,0,0.0061,0.0012,0.0029,0.0639,0,0,0,0.0243,0.001,0.0954,0.1292,0,0.4004,0.0009,0,0.1951,0.3306,0,0.0095,3.7111,"11320660","201608"
"5*7*9*7*",199841.533980864,553141.221945551,"3","05",0,0,0,0.0463,0,0.0085,0.1332,0.151,0,0.3766,0.0008,0.0014,0,0,0.0066,0,0,0.0561,0.0059,0.4308,0.0036,0.1481,0.0796,0.1244,0.0289,0,0.0069,0.008,0.0055,0.02,0.2131,"11530520","201609"
"5*4*2*6*",197786.880166518,555002.261919568,"7","18",0,0,0.1268,0.0203,1.7614,2.1813,0.0988,0.0172,1.1132,0.9765,0.0562,0.0052,0,0.8328,0.4084,0.0031,0.0016,0,0.062,0.255,0,0,0.1717,0,1.0988,0,0.1155,0.0022,0.0239,0.0059,0.1647,"11170660","201611"
"5*7*0*2*",197440.113638654,558704.149140247,"7","17",0.0059,0.0101,0.0009,0.0262,0.8492,0.1063,0.0231,0.4294,0.0387,0.0602,0.0823,0.0194,0,0.0735,0.0074,0.0003,0.0132,0,0.1047,0.0292,0.011,0.0057,0.253,0.0716,0.1306,0.6536,2.2398,0.0367,0.0041,0.0051,0.7957,"11215810","201608"
"5*9*4*9*",197667.751975967,554177.831828439,"4","17",0.0006,0,0,0.0274,1.332,0.031,0,0.3503,0.0186,0.0058,0.4094,0,0.051,0.0035,0,0.0163,0,0,0.0676,0.0988,1.2362,0.0489,0.2571,0.1249,0.0486,0.0177,0.6256,0.4522,0.0069,0,17.7297,"11260680","201612"
"5*0*5*5*",198737.350766943,553422.561945239,"3","07",0,0.0027,0.0041,0.8375,0.0479,0.1127,0.0023,0.1802,0.2203,0.0659,0.063,0.0667,0.0457,0.0089,0,0,0.0085,0.1293,0,0,0.0071,0.0342,0.1035,0.0077,0,0.0036,0.0054,0.0027,0.0327,0,2.3483,"11440720","201708"
"5*1*9*7*",197431.602544029,554359.74625648,"1","23",0,0,0.0028,0.0193,0.0262,0.4654,0.3539,0.0784,0.4639,0.1877,0.0006,0.2023,0.0033,0.0219,0.1101,0.0007,0,0.0434,0.0224,0.0776,0.4774,0.2603,0.3707,0.0244,0.0184,0.0262,0.0064,0.004,0.0071,0.0077,3.0846,"11560660","201609"
"5*4*2*3*",201134.548689045,554392.732533614,"3","10",0.0001,0,0,0.0042,1.0662,0,0.0086,0.0134,0.2565,0,0.0291,0.8466,0.0008,0.0055,0.0575,0,0,0.0231,0.034,0.3963,0,0.0122,0,0.0464,0.0023,0.7803,0.3001,0.0214,0.0011,0.0048,2.1558,"11440690","201712"
"5*5*1*1*",196383.253303267,558597.771180073,"4","14",0,0,0.0009,0.0046,0.0115,0,0.0015,0.1389,0.0283,0.3386,0.0845,0,0.5662,0.2857,1.1955,0.004,0,0.0036,0.012,0.2071,0.4208,0.2098,0,0,0.0493,0.1033,0.0183,0.3407,0,0.0221,0.2508,"11305610","201607"
"5*9*9*3*",197224.167415472,558044.083672635,"3","04",0,0.2017,0.1478,0.4086,0.4264,0.5626,0.0045,0.0361,0.0027,0.6873,0.0036,0.0774,0,0.0064,0.3315,0,0.0364,0,0.0262,9.9981,0.2006,0.0041,0.1359,0,0.0704,1.6344,0.0342,0,0,0.6343,7.0909,"11170685","201601"
"5*5*3*3*",197125.238172619,556195.270738395,"1","10",0,0.0233,0,0.1756,0.2428,0.0653,0.0303,0.0912,0.0039,0.4677,0.0081,0,0.0018,0,0.1605,0,0,0.0023,0.0036,0.076,0.0045,0.0095,0.0495,0,0.0452,0,0.0029,0.0015,0.1186,0.0042,2.9005,"11140625","201608"
"5*7*4*5*",198278.875959436,558647.235836382,"4","19",0,0,0,0.0011,0.0345,0.0505,0.4134,0.1217,0.0321,0.0129,0.0061,0.0774,0.3591,0.0775,0.0052,0,0.043,0.0144,0.0153,0,0.0129,0.8092,0.022,1.6601,0.028,0.0138,0.0062,0.051,0.01,0.0092,0.7018,"11530560","201612"
"5*3*9*5*",197182.683040333,553024.712020292,"4","07",0,0,0.0839,0.0004,0.0064,0.1,0.1392,0.0146,2.5454,2.3455,0.0186,0.0031,0.0068,0.042,0,0.0007,0,0.0135,0.5557,0.0486,0.1216,0.0055,0.0564,0.0611,0.0009,0.0016,0.425,0.037,0.0459,0,0.8481,"11650560","201610"
"5*3*8*4*",200172.911397575,553000.797717783,"2","21",0.0007,0,0.0364,0.0022,0.0031,0.1502,0.0679,0.0704,0.0123,0.0491,0.7057,0.0197,0.111,0.004,0.1863,0,0,0.0066,0.0051,0.0014,3.3543,0.8835,0.1551,0.1539,2.6694,3.5171,0.2021,0.0926,0.7674,0.0765,0.5639,"11290780","201610"
"5*5*1*1*",197042.774868666,558501.501961112,"3","13",0.0038,0,0,0,0.187,0.0241,0.0711,0.0141,0.2693,0.0423,0.7271,0.2011,0.1306,0,0.525,0.0164,0,0.102,0.048,0.0098,0,0.0442,0.0389,0.0023,0.0105,0.0034,0.0042,0.1832,0.0018,0.2958,13.6152,"11215740","201609"
"5*5*1*2*",197063.538456653,552792.308306558,"3","19",0,0.0461,0.0077,0.0031,0,0.2347,0.0003,0.087,0.0442,0.5738,0.6525,0.0365,0.1255,0,0.0797,0,0.0317,0,0.0095,2.3491,0.0133,1.4211,0.1309,0,0,0.0014,0.0023,0.0212,0.2722,0.146,0.782,"11215740","201709"
"5*3*4*3*",200492.02643723,556005.919111755,"3","18",0,0,0.0203,0.0141,0.1767,0,0.0232,0,0.0051,0.0236,2.5238,0.0094,0.0538,0,0.0796,0,0.0336,0.0312,0.0119,0.0139,0,0.0017,0.0077,0.0057,0.0415,1.2085,0.0087,0.009,0.0723,0,5.4757,"11500510","201609"
"5*0*1*1*",197387.989290504,556957.453548202,"4","14",0,0,0,0.0008,0.0826,2.1839,0.8381,0.0016,0.0204,0.0245,0.0004,0.1608,0.5922,0.1136,0.0092,0,0,0.0072,0.1758,0.2178,0.3406,0,0.0785,0.2542,0.1709,0.0255,0.0138,0.408,0.8333,0.0664,0.152,"11740520","201611"
"5*6*6*1*",197917.204091617,557484.014020478,"2","07",0,0,0.0003,0.4338,0.0619,0.0062,1.2511,0.0797,1.6836,0.0821,0.0083,0.1795,0.0431,0.0084,0.6976,0.0001,0,0.002,0.0173,0.3213,0.5856,0,0,0.0013,0.0555,0.0229,0.0408,0,0.8595,0.0486,0.05,"11140570","201610"
"5*0*4*9*",198221.437570473,552897.615754515,"3","22",0,0,0.0663,0.1409,0.0393,0.2576,0.3639,0.0752,0,0.5058,0.0875,0.0005,0.0093,0.001,0,0.0004,0.1102,0.0024,0.0129,0.0009,0.1142,0.0622,0.0481,0.7233,0.0149,0,0,0.1141,0.147,0,4.7634,"11710532","201703"
"5*1*7*3*",198837.34447918,554043.28752557,"5","04",0.003,0,0,0.0031,0.0008,0,0.0036,0.1578,0.0792,7.782,0.1802,0.002,0,0,0,0,0,0,0.5457,0.0023,0.6781,0.0033,0,0.1986,0.0614,0.004,0.1853,0,0.0036,0.6951,0.3348,"11440585","201712"
"5*6*5*9*",196899.723482935,553324.693886554,"4","06",0,0.0254,0.0058,0.0073,0.0017,0.2454,0.2576,0.716,0.0536,0.013,0.2815,0.4536,0,0.8922,0,0,0,0,0.2211,0.0019,0,4.4787,0.1534,2.7709,0.0006,0.0085,0.0627,0.0571,0.0033,0.0007,3.6121,"11110650","201710"
"5*2*8*3*",197129.48248585,553921.99996885,"4","16",0,0,0,0.0163,1.6384,3.9086,0.0079,0,0.0299,0.9768,0.0362,0.0064,0,0.4614,0.0259,0,0,0.008,0.0018,0,0.1153,1.9045,0.085,0.793,0.0465,0.0131,0.0062,0.0372,0.0012,0.0017,0.5417,"11680656","201609"
"5*4*4*8*",200681.917598602,556951.603117293,"7","04",0.0006,0,0,0.1356,0.0019,3.7885,0.033,0.0299,0.0045,0.9442,0.0061,0,0.0295,0.1374,0.0557,0.0001,0.0017,0.019,0.0221,0,0.2635,2.7308,0,0,0.001,0,0.765,0.0473,0.1914,0.084,2.6072,"11290640","201708"
"5*3*3*6*",197896.466646504,556181.97639986,"2","10",0,0,0.1689,0.0345,0,0.0153,0.0023,0,0.0021,6.6518,0.1955,0.0176,0,0.0714,0.0077,0,0.0011,0.0884,0.0062,0.3363,0.0537,0.0014,0.0093,0,0,0.0017,0.0068,0,0,0.0375,7.1679,"11470510","201710"
"5*5*4*5*",196785.883457255,556203.779139803,"6","15",0,0,0.0005,0.066,0.0477,0.0598,0.0476,0.1561,2.0885,0.0566,0.0531,1.511,0.1599,0,0,0,0,0,2.3521,0.3129,0,0.0008,0.009,0.037,0.001,0.0005,0.0806,0.0106,0.0013,0,1.0697,"11200615","201703"
"5*8*2*2*",197834.236241637,552113.077102476,"7","23",0,0,0.0036,0.1808,0.0016,0.3506,0,0.1797,0.1724,0.0422,0.0282,0.0036,0.0524,0,0.0536,0.0007,0,0,0,0.321,0.1232,0.0062,0.0124,0.0252,0.0006,2.1398,0.0014,0.0226,0.1035,0,3.2169,"11620765","201703"
"5*3*6*9*",196889.596631454,552264.661723671,"5","12",0.0019,0,0,0.2297,0,0,1.3537,0.0146,0.2461,0,0,0.5509,0,0.4471,0.0284,0.0029,0.0007,0,0.1798,0.8825,0.0002,30.2575,0.1227,0.0008,0.1526,0.0286,0.0221,0.1684,0.0033,0.0006,1.9597,"11650610","201705"
"5*7*4*1*",197442.217010596,553172.577166427,"5","07",0.0005,0.0353,0.218,0.5319,0.2074,0.0048,0.0069,0.0073,0.2433,0.03,0.0134,0,0.5855,0.1523,0.0706,0,0,0.0044,0.0095,0.0012,0.0323,0.151,5.8071,0.0083,0.0092,0.1329,0.0293,0.0148,0.1542,0.0928,0.02,"11740515","201607"
"5*3*8*5*",197740.07185499,558147.268912474,"4","11",0,0,0.1982,0.3426,0,0,0.2997,0.3886,0.0059,0.0402,0.0573,1.0706,0.0408,0.0218,0.0657,0.0015,0,0,0.8943,0.1301,0.4847,0.0326,0,0.1088,0.3036,0.0057,0.0036,0.1586,0.1051,0.0008,0.5835,"11500593","201801"
"5*0*3*9*",197209.275027835,552986.98063548,"1","13",0,0,0.0021,0.4947,0.0025,2.18,0.0015,0.0493,0.2138,0.0168,5.2371,0,0.1038,0.2144,0.0017,0,0.0238,0.0089,0.0013,0.6224,0.0998,0.0246,0.116,0.0204,0.783,0.0123,0.0721,0.0189,0.018,0.0776,0.0063,"11350640","201609"
"5*2*0*6*",197243.29293676,557996.214893011,"7","05",0.0004,0.0265,0.0168,0.0161,0.1457,0.025,0.2815,0.0063,0.0102,0.3556,0,0.357,0.1131,0.0205,0.0144,0.0012,0.0013,0.0044,0.0536,0.5968,0.3757,0.313,0.0411,0.0054,0.0526,0.153,0.2606,0.019,0.0914,0.5777,0.9889,"11650651","201603"
"5*3*8*9*",198041.646551054,554572.491902897,"1","12",0,0.0048,0.0043,0,0.1445,0.0439,0.0268,0.0474,0.0005,1.0373,1.0948,0.0159,0,0,0.0842,0,0.0537,0,0.1875,0.1607,0.0059,0.0881,0.0018,0.0006,0,0.004,0.2416,0.1974,0.0138,0.0224,3.5416,"11680521","201702"
"5*3*2*3*",196651.867463204,552632.175622171,"5","23",0,0.0003,0,0,0.0004,1.7232,0,0.1171,0.0077,0,0.1122,0.0081,0.6471,0.0065,0.0059,0,0,0,1.0608,0.0714,0.0107,0.0884,0.0785,0.0587,0.0015,0.739,0.0493,0.051,0,0.2171,26.3442,"11440680","201704"
"5*0*0*0*",197742.753418306,554488.473120969,"4","00",0.0014,0,0.1364,0.0008,0.0661,0.0501,0.0468,0.0005,0.0062,0.7919,0,2.1755,0.3921,0,0.08,0,0.0011,0.0964,0.0071,0,0.0359,0.0258,0.0074,0.2856,0.0105,0.019,0.3609,0.082,0.1178,0,1.305,"11710562","201608"
"5*4*6*2*",197536.89649816,555138.428990691,"7","05",0,0,0.0018,0.0371,0.0816,0.5324,0.0004,1.031,0.358,1.5681,0.1963,0.0272,0.0783,0,0.1002,0,0.0028,0.0124,0.0405,3.4761,0.0008,0.0065,0.0054,0.8387,0.0058,0.1272,0.1126,0.0384,0.0636,0.0374,0.0058,"11680590","201708"
"5*9*7*3*",198173.567056548,553588.002712755,"3","18",0.0001,0,0.0023,0.0996,6.4938,2.9814,0.1204,0.0054,0.0396,0.0578,0.2045,0.0042,0.0106,0.0907,0,0,0,0.105,0.1109,0.5814,0.2749,0.9958,0,0,0.0092,0.4397,0,0.0507,0.0085,0.004,0.0197,"11560550","201610"
"5*4*5*9*",197116.724990432,556485.146459544,"5","02",0,0.0005,0.0008,0.0059,1.7891,0.3924,0.2356,0.0055,0.0243,0.1459,0.0252,0.0468,1.3167,0.0062,0.0279,0,0.0005,0.0527,0.5141,0.0475,0.0954,0.0787,0.0452,0.6409,0.4593,0.0922,0.0003,0.0748,0.0673,0.0073,0.0394,"11170510","201703"
"5*2*7*3*",199638.357787992,556987.239598817,"1","05",0.0318,0,0.014,0.1233,0.0045,0.0809,3.5065,0.0009,0.4387,0.208,0.0268,0,0.0028,0.0092,0.0153,0,0,0.1538,0.0097,0,0.0065,0.5083,0.0023,0.2941,0.0204,0.0076,0.0038,0.2171,0.1476,0.0214,0.2774,"11320521","201701"
"5*7*2*9*",196348.697055245,557796.228163904,"5","00",0.0014,0,0.0097,0.0707,0.0045,0.2581,0.0527,1.9224,0.0326,0.0089,0.0323,0.0524,0,0,0.0245,0,0.0032,0,0.4429,0.0012,0,0.0119,0.397,0.0818,0.2681,0.0078,0,0,0.0213,0.0119,0.3759,"11380631","201711"
"5*4*3*8*",199121.912322467,556481.423821673,"6","19",0,0,0.0241,0.1533,0.1374,0.0551,0,0.1416,7.2982,0.0015,0.0701,0.9724,0,0.0732,0.0301,0,0.0011,0.1525,0.0177,0.0025,0.5729,0.1526,0.0189,0.0012,0,0.026,0.1214,0.0097,0,0.442,0.02,"11680565","201712"
"5*0*0*6*",197124.174058416,554542.722481789,"3","10",0,0.1005,0.0085,0,0.1244,0.0125,0.001,0.1302,0.2811,0.4703,0.0938,0.001,0.0848,0.0025,0.5024,0,0,0.0155,0.0408,0.0006,0.3046,0.8242,0.2421,0.0007,0.0255,0.0074,0.0465,0,0.0923,0.0033,0.4717,"11260570","201701"
"5*2*6*7*",199639.42059394,557804.207401268,"3","23",0,0,0.0376,0.0479,0.4589,0.272,0.6251,0.0548,0.0354,0.7426,0.0093,0.6466,0.0054,0.0265,0.0027,0,0,0,0.0679,0.3137,1.3072,0,0.0465,0.2397,0.0483,0.0181,0,0.034,0,0.0124,0.1131,"11560550","201801"
"5*5*7*6*",197581.060698932,555199.058905855,"2","23",0.0089,0,0.0697,0.0011,0.1199,0.0684,0.0256,0.168,0.0012,1.8669,0.2547,0,0.0305,0.0244,0.0541,0,0,0.0542,0,0.2173,0.0562,0.0047,0.0044,0.0122,0.0646,0.0004,0.0037,0.0145,0,0,0.0314,"11215870","201707"
"5*5*8*0*",197879.977137817,556693.641988153,"5","21",0,0,0.3536,0.0008,0,0.0482,0.0059,0.188,0.255,0.0998,0.0009,0.0405,0.1943,0.001,0.089,0.002,0,0.0002,0.3605,0,0.0069,0.0275,0.4827,0.0038,0.3119,0.1207,0.1133,0.0057,0.0162,0.0488,0.4329,"11380520","201707"
"5*5*5*9*",196933.763649267,553131.61472276,"7","17",0,0,0,0.0631,0.0202,0.14,0.0057,0.172,0.5967,0.0084,0.0071,0.0703,0.0803,0.0087,0,0,0,0.0141,0.1462,0.3947,0.0218,0.0028,0.0061,0.005,0.2249,0,0.0522,0.016,0.0059,0,7.3762,"11260540","201606"
"5*9*3*5*",198300.163601642,553911.369420636,"5","17",0.002,0,0,0,0.0868,0.3745,0.8635,0.0033,0.0189,0.0003,0.0008,0.3475,0.1727,0,0.6079,0,0.0013,0.0144,0,0.9127,5.3125,0.0174,0,0.0084,0.03,0.2945,0.1479,0,0,0.4865,0.7447,"11620655","201611"
"5*3*4*1*",200440.966644176,557010.109663042,"1","15",0,0,0.2907,0.0057,2.2452,0.0007,1.0531,0,0,0.18,0.0561,0.0063,0,0.0199,0.011,0.0048,0,0.0069,0.0074,0.7541,0.0013,0,0.2774,0.2852,1.2546,0.3502,1.8454,0.1439,0,0.8104,0.0293,"11260680","201605"
"5*2*0*3*",198034.73823823,552214.133505729,"3","11",0,0,0.0617,0,0.2337,0.1525,0.0574,1.8696,0.011,0.0465,0.0918,0.0486,0,0.0122,0.0202,0.0101,0.1457,0.0698,0.1846,0.001,1.0128,0.0102,0.0272,0.5134,0.0388,0,0.2124,0.0568,0,0.6206,0.8669,"11215760","201603"
"5*2*5*8*",196726.851705591,556037.836109112,"4","01",0.0017,0,0,0,0.0528,0.0587,0,0.0052,0.0465,0,0.0059,0,0.009,0.0039,0.2498,0,0.0027,0.023,0,2.3577,0.5133,0,0.0018,0.2451,0,0.2614,0.0604,0.0275,0,0.0103,0.0203,"11200615","201603"
"5*5*9*6*",196616.226895818,557242.541432908,"6","23",0,0,0.0356,0.0571,0.9984,3.8256,0.478,0.0017,0.0517,0.0954,0.4318,0.3422,0.0049,0,0.0884,0.0006,0,0.0173,0.0094,0.0137,0.0013,0.002,0.0025,0.0033,0.0535,0.0181,0,0.0075,0.1311,0,17.9307,"11305606","201612"
"5*8*8*5*",196423.151218164,552161.479952905,"2","00",0,0,0.0047,0.0025,0.1578,4.1004,0.4998,0.0033,0.1454,0.4216,0.0121,0.0126,0.0796,0.0112,0.0043,0,0,0.0009,0.0007,0.1067,0.0068,0.7446,0.664,0.005,0.238,4.8445,0.0598,0.0523,0.0035,0.0071,0.2914,"11620645","201801"
"5*3*6*2*",197674.130994692,552171.044018498,"1","04",0,0,0.001,0,1.0225,0.001,0.4739,0.8084,0.5274,0.0578,0.7153,0.0207,0.5194,0.0045,0.1012,0,0.0013,0.0107,0.6163,0.0019,0.0014,0.1822,0,0.063,0.0241,0.0711,0.0068,0.0796,0,0,0.0751,"11305660","201712"
"5*6*5*8*",200637.235019639,558182.901842618,"7","01",0,0,0,0.0623,0.0696,0.0357,0.1377,0.0066,0.0039,0,0.0402,0.022,0.0153,0.0227,0.008,0.0036,0,0.0007,3.5278,0.4379,0.3029,0.1169,0.765,0.0008,0.2717,0.0395,0.04,0.7121,0.6582,0,1.003,"11710566","201605"
"5*4*0*6*",195979.040341953,553642.251285808,"5","09",0,0,0.0314,0.0033,0.0099,0.0435,1.9316,0.914,0.4376,0.0223,0.0498,0.0143,0,0.0399,0.5763,0.0022,0,0.0734,0.2749,0.0046,0.0172,0.0436,0.0015,0.3951,0.1655,0.1382,0.057,0.0237,0.3688,0,0.968,"11710531","201702"
"5*2*8*5*",197145.452211611,555002.793564583,"7","23",0,0,0,1.2363,0,0.0961,0.0014,0.0286,0.2873,0.0585,0.0366,0,0.189,0,0.0039,0,0.0044,0,0.7264,0.0079,0.0059,0.0468,0.9049,0.0043,0.1122,0.099,1.277,0.0809,0.003,0.5491,0.3334,"11380590","201705"
"5*4*0*5*",196978.42947927,553337.449028292,"7","02",0,0.0366,0,0.0003,0,0.0513,0,0.6997,0.0839,0,0.0071,0.5591,0.3379,0.0211,0.0592,0,0,0.0328,0.1704,0.0045,0.5305,0.0039,0.0564,0.5884,0.0119,0.6005,0.087,0.0044,0.3821,0.1877,0.0296,"11230536","201704"
"5*4*2*8*",196524.207537919,556003.260341442,"7","19",0,0,0,0.0282,0.0036,0.2235,0,0.2442,2.3378,0.0582,8.4614,0.5639,0.0442,0,0.1445,0,0.0125,1.1332,0.1105,0,0.0418,0.0624,0.056,0.2597,0.0023,0,0.0014,0,0.2332,0.2735,7.9861,"11290660","201612"
"5*1*7*2*",198215.058215446,552771.538710119,"5","08",0,0,0.0388,0.0527,0.001,0.0005,0.0048,0.2202,0,0.0328,0.0071,0.0243,0.0477,0.0032,0.0332,0,0.0046,0.2592,0.0474,0.0787,0.3856,0.0663,0.2543,0,0.5969,0.0052,0.0083,0.2953,0.0005,0.0265,0.1497,"11380631","201603"
"5*5*7*6*",197922.520053109,554072.522361113,"6","18",0.0016,0,0.0063,0,1.4969,0.0219,0,0.0207,0.5474,0.1069,0.0972,0,0.1202,0.0045,0,0,0.0689,0.0702,0.001,0.0383,0.1496,0,0.0039,1.1358,0.3475,0.0486,0.0023,0.0023,0.0208,0.2797,1.6184,"11650621","201701"
"5*6*5*1*",201940.348788522,557209.565077038,"2","09",0,0,0,0,0.0883,0.3774,0,1.6746,0.0938,0.427,0.0838,0.1583,0.0093,0,0.0024,0.0001,0,0,0,0.0724,0.1868,0.0119,0.2249,0.0332,0.0195,0.0838,0.0792,0.0094,0.0056,0.002,2.1548,"11440590","201603"
"5*7*7*6*",196252.958202124,556459.612779922,"4","18",0,0,0.0105,0.0005,0.7367,0.0055,0.1224,0.148,0.0008,0.1232,0.0004,0.2105,0.005,0,0.0533,0,0.0007,0.0133,0.0163,0.202,0,0.2295,0.0013,0.0469,0,0.8566,0.0094,0.0474,0.1697,0.4189,0.3623,"11560550","201605"
"5*5*4*4*",197938.464674695,558095.144294857,"3","16",0,0,0,0.0065,1.4354,0.0117,0.0714,0.0116,0.019,0.8152,0.0005,1.0215,5.237,0.002,1.2277,0.0001,0,0,0.0155,2.6061,0.2859,0.1865,0.1212,0.0161,0.4651,0.0152,0.002,0.0202,0.0035,0.2953,2.8843,"11650600","201603"
"5*5*2*6*",198086.329322955,552169.450005834,"6","23",0.0012,0,0.074,0.4881,0.0173,0.1359,0.3926,0,0.0116,0.0272,0.0029,0.7124,0.0287,0,0.0133,0.0006,0,0,0.0046,0.1379,0.253,0.0497,6.099,0.028,0.001,0.0144,0.0089,0,0,0.0028,35.3906,"11350624","201604"
